type,ident,Latitude,Longitude,y_proj,x_proj,comment,display,symbol,dist,proximity,color,altitude,depth,temp,time,wpt_class,sub_class,attrib,link,state,country,city,address,zip,facility,crossroad,ete,dtype,model,filename,ltime,magvar,geoidheight,desc,fix,sat,hdop,vdop,pdop,ageofdgpsdata,dgpsid,dir
WAYPOINT,AIEwind03D,-17.007595,-149.535844,-17.007595,-149.535844,2023-09-27T19:54,,Flag, Blue,,,,13.553432,,,2023/09/27 19:54:11+00,,,,,,,,,,,,,,garmin GPS 73 Worldwide Software Version 250,,2023/09/27 20:54:11,,,,,,,,,,,
WAYPOINT,AIEwind03C,-17.007617,-149.535806,-17.007617,-149.535806,2023-09-27T19:47,,Flag, Blue,,,,18.658396,,,2023/09/27 19:47:36+00,,,,,,,,,,,,,,garmin GPS 73 Worldwide Software Version 250,,2023/09/27 20:47:36,,,,,,,,,,,
WAYPOINT,AIEwind03B,-17.007646,-149.53572,-17.007646,-149.53572,2023-09-27T19:40,,Flag, Blue,,,,13.997293,,,2023/09/27 19:40:10+00,,,,,,,,,,,,,,garmin GPS 73 Worldwide Software Version 250,,2023/09/27 20:40:10,,,,,,,,,,,
WAYPOINT,AIEwind03A,-17.007721,-149.535739,-17.007721,-149.535739,2023-09-27T19:31,,Flag, Blue,,,,7.168654,,,2023/09/27 19:31:46+00,,,,,,,,,,,,,,garmin GPS 73 Worldwide Software Version 250,,2023/09/27 20:31:46,,,,,,,,,,,
WAYPOINT,REIlee03BfishE,-17.045541,-149.547979,-17.045541,-149.547979,2023-09-27T02:33,,Flag, Blue,,,,1.471926,,,2023/09/27 02:33:54+00,,,,,,,,,,,,,,garmin GPS 73 Worldwide Software Version 250,,2023/09/27 03:33:54,,,,,,,,,,,
WAYPOINT,REIlee03D,-17.04522,-149.548048,-17.04522,-149.548048,2023-09-27T02:23,,Flag, Blue,,,,13.6705,,,2023/09/27 02:23:27+00,,,,,,,,,,,,,,garmin GPS 73 Worldwide Software Version 250,,2023/09/27 03:23:27,,,,,,,,,,,
WAYPOINT,REIlee03C,-17.045233,-149.547959,-17.045233,-149.547959,2023-09-27T02:20,,Flag, Blue,,,,14.819883,,,2023/09/27 02:20:06+00,,,,,,,,,,,,,,garmin GPS 73 Worldwide Software Version 250,,2023/09/27 03:20:06,,,,,,,,,,,
WAYPOINT,REIlee03B,-17.04522,-149.547876,-17.04522,-149.547876,2023-09-27T02:18,,Flag, Blue,,,,15.205827,,,2023/09/27 02:18:22+00,,,,,,,,,,,,,,garmin GPS 73 Worldwide Software Version 250,,2023/09/27 03:18:22,,,,,,,,,,,
WAYPOINT,REIlee03BfishS,-17.045218,-149.547884,-17.045218,-149.547884,2023-09-27T02:17,,Flag, Blue,,,,14.756579,,,2023/09/27 02:17:15+00,,,,,,,,,,,,,,garmin GPS 73 Worldwide Software Version 250,,2023/09/27 03:17:15,,,,,,,,,,,
WAYPOINT,REIlee03A,-17.045212,-149.547781,-17.045212,-149.547781,2023-09-27T02:13,,Flag, Blue,,,,14.654405,,,2023/09/27 02:13:13+00,,,,,,,,,,,,,,garmin GPS 73 Worldwide Software Version 250,,2023/09/27 03:13:13,,,,,,,,,,,
